tx_id,src_account,dst_account,amount,tx_type,timestamp
TXN_5043,ACC_1171,ACC_1172,576.53,Transfer,2026-01-20T10:00:00Z
TXN_5044,ACC_9999,ACC_1072,123.01,Withdrawal,2026-01-20T10:00:00Z
TXN_5045,ACC_1275,ACC_1458,858.06,Withdrawal,2026-01-20T10:00:00Z
TXN_5046,ACC_1496,ACC_1253,193.69,Deposit,2026-01-20T10:00:00Z
TXN_5047,ACC_1385,ACC_1361,874.5,Withdrawal,2026-01-20T10:00:00Z
TXN_5048,ACC_1255,ACC_1379,982.56,Deposit,2026-01-20T10:00:00Z
TXN_5049,ACC_1315,ACC_1500,1393.59,Deposit,2026-01-20T10:00:00Z
TXN_5050,ACC_1142,ACC_1344,1494.45,Transfer,2026-01-20T10:00:00Z
TXN_5051,ACC_1207,ACC_1233,1813.37,Deposit,2026-01-20T10:00:00Z
TXN_5052,ACC_1234,ACC_1375,622.12,Deposit,2026-01-20T10:00:00Z
TXN_5053,ACC_1207,ACC_1038,1499.83,Withdrawal,2026-01-20T10:00:00Z
TXN_5054,ACC_1215,ACC_1048,668.37,Deposit,2026-01-20T10:00:00Z
TXN_5055,ACC_1040,ACC_1134,270.54,Withdrawal,2026-01-20T10:00:00Z
TXN_5056,ACC_1166,ACC_1396,1247.47,Transfer,2026-01-20T10:00:00Z
TXN_5057,ACC_1068,ACC_1375,1145.53,Withdrawal,2026-01-20T10:00:00Z
TXN_5058,ACC_1483,ACC_1192,579.44,Transfer,2026-01-20T10:00:00Z
TXN_5059,ACC_1326,ACC_1053,1376.77,Transfer,2026-01-20T10:00:00Z
TXN_5060,ACC_1307,ACC_1226,1122.95,Withdrawal,2026-01-20T10:00:00Z
TXN_5061,ACC_1075,ACC_1181,617.91,Withdrawal,2026-01-20T10:00:00Z
TXN_5062,ACC_1051,ACC_1314,1769.67,Transfer,2026-01-20T10:00:00Z
TXN_5063,ACC_1079,ACC_1224,1378.8,Transfer,2026-01-20T10:00:00Z
TXN_5064,ACC_1064,ACC_1004,455.12,Withdrawal,2026-01-20T10:00:00Z
TXN_5065,ACC_1248,ACC_1173,1905.34,Transfer,2026-01-20T10:00:00Z
TXN_5066,ACC_1184,ACC_1419,925.68,Deposit,2026-01-20T10:00:00Z
TXN_5067,ACC_1476,ACC_1479,638.51,Withdrawal,2026-01-20T10:00:00Z
TXN_5068,ACC_1268,ACC_1406,580.07,Transfer,2026-01-20T10:00:00Z
TXN_5069,ACC_1164,ACC_1223,340.3,Withdrawal,2026-01-20T10:00:00Z
TXN_5070,ACC_1367,ACC_1087,512.78,Transfer,2026-01-20T10:00:00Z
TXN_5071,ACC_1183,ACC_1128,1305.35,Withdrawal,2026-01-20T10:00:00Z
TXN_5072,ACC_1132,ACC_1459,1564.33,Withdrawal,2026-01-20T10:00:00Z
TXN_5073,ACC_1454,ACC_1211,1615.07,Withdrawal,2026-01-20T10:00:00Z
TXN_5074,ACC_1335,ACC_1149,1703.19,Transfer,2026-01-20T10:00:00Z
TXN_5075,ACC_1314,ACC_1104,788.46,Deposit,2026-01-20T10:00:00Z
TXN_5076,ACC_1344,ACC_1018,992.11,Transfer,2026-01-20T10:00:00Z
TXN_5077,ACC_1139,ACC_1087,1211.64,Transfer,2026-01-20T10:00:00Z
TXN_5078,ACC_1117,ACC_1418,13.28,Transfer,2026-01-20T10:00:00Z
TXN_5079,ACC_1178,ACC_1226,627.69,Transfer,2026-01-20T10:00:00Z
TXN_5080,ACC_1148,ACC_1377,316.01,Withdrawal,2026-01-20T10:00:00Z
TXN_5081,ACC_1049,ACC_1452,1305.12,Withdrawal,2026-01-20T10:00:00Z
TXN_5082,ACC_1016,ACC_1352,1363.41,Transfer,2026-01-20T10:00:00Z
TXN_5083,ACC_1337,ACC_1245,599.49,Deposit,2026-01-20T10:00:00Z
TXN_5084,ACC_1369,ACC_1207,953.07,Deposit,2026-01-20T10:00:00Z
TXN_5085,ACC_1452,ACC_1367,1022.87,Deposit,2026-01-20T10:00:00Z
TXN_5086,ACC_1114,ACC_1431,1528.99,Withdrawal,2026-01-20T10:00:00Z
TXN_5087,ACC_1400,ACC_1194,1243.8,Transfer,2026-01-20T10:00:00Z
TXN_5088,ACC_1288,ACC_1455,1885.95,Withdrawal,2026-01-20T10:00:00Z
TXN_5089,ACC_1320,ACC_1020,1336.82,Deposit,2026-01-20T10:00:00Z
TXN_5090,ACC_1031,ACC_1437,1876.89,Withdrawal,2026-01-20T10:00:00Z
TXN_5091,ACC_1080,ACC_1050,1144.43,Withdrawal,2026-01-20T10:00:00Z
TXN_5092,ACC_1108,ACC_1226,583.92,Transfer,2026-01-20T10:00:00Z
TXN_5093,ACC_1100,ACC_1004,715.3,Transfer,2026-01-20T10:00:00Z
TXN_5094,ACC_1463,ACC_1493,245.42,Deposit,2026-01-20T10:00:00Z
TXN_5095,ACC_1041,ACC_1286,90.42,Deposit,2026-01-20T10:00:00Z
TXN_5096,ACC_1140,ACC_1262,948.71,Withdrawal,2026-01-20T10:00:00Z
TXN_5097,ACC_1203,ACC_1277,936.48,Transfer,2026-01-20T10:00:00Z
TXN_5098,ACC_1118,ACC_1210,1003.54,Transfer,2026-01-20T10:00:00Z
TXN_5099,ACC_1328,ACC_1120,1401.92,Transfer,2026-01-20T10:00:00Z
TXN_5100,ACC_1433,ACC_1126,276.63,Withdrawal,2026-01-20T10:00:00Z
TXN_5101,ACC_1493,ACC_1214,613.07,Transfer,2026-01-20T10:00:00Z
TXN_5102,ACC_1387,ACC_1471,1146.37,Transfer,2026-01-20T10:00:00Z
TXN_5103,ACC_1394,ACC_1254,837.18,Transfer,2026-01-20T10:00:00Z
TXN_5104,ACC_1263,ACC_1112,1249.04,Deposit,2026-01-20T10:00:00Z
TXN_5105,ACC_1180,ACC_1426,1734.95,Deposit,2026-01-20T10:00:00Z
TXN_5106,ACC_1435,ACC_1438,1317.32,Withdrawal,2026-01-20T10:00:00Z
TXN_5107,ACC_1345,ACC_1078,1707.79,Deposit,2026-01-20T10:00:00Z
TXN_5108,ACC_1224,ACC_1091,1703.14,Transfer,2026-01-20T10:00:00Z
TXN_5109,ACC_1106,ACC_1058,1374.66,Transfer,2026-01-20T10:00:00Z
TXN_5110,ACC_1454,ACC_1192,1330.05,Withdrawal,2026-01-20T10:00:00Z
TXN_5111,ACC_1245,ACC_1160,1425.37,Withdrawal,2026-01-20T10:00:00Z
TXN_5112,ACC_1032,ACC_1123,1647.92,Withdrawal,2026-01-20T10:00:00Z
TXN_5113,ACC_1098,ACC_1056,149.07,Deposit,2026-01-20T10:00:00Z
TXN_5114,ACC_1181,ACC_1307,949.1,Transfer,2026-01-20T10:00:00Z
TXN_5115,ACC_1251,ACC_1330,775.45,Deposit,2026-01-20T10:00:00Z
TXN_5116,ACC_1416,ACC_1240,356.2,Transfer,2026-01-20T10:00:00Z
TXN_5117,ACC_1288,ACC_1030,1475.04,Deposit,2026-01-20T10:00:00Z
TXN_5118,ACC_1035,ACC_1468,1864.77,Deposit,2026-01-20T10:00:00Z
TXN_5119,ACC_1319,ACC_1179,543.42,Withdrawal,2026-01-20T10:00:00Z
TXN_5120,ACC_1101,ACC_1184,571.83,Withdrawal,2026-01-20T10:00:00Z
TXN_5121,ACC_1374,ACC_1356,1790.99,Withdrawal,2026-01-20T10:00:00Z
TXN_5122,ACC_1220,ACC_1447,49.66,Transfer,2026-01-20T10:00:00Z
TXN_5123,ACC_1014,ACC_1008,1303.59,Deposit,2026-01-20T10:00:00Z
TXN_5124,ACC_1135,ACC_1065,1357.48,Withdrawal,2026-01-20T10:00:00Z
TXN_5125,ACC_9999,ACC_1044,1639.43,Deposit,2026-01-20T10:00:00Z
TXN_5126,ACC_1392,ACC_1072,1420.87,Withdrawal,2026-01-20T10:00:00Z
TXN_5127,ACC_1185,ACC_1279,1103.95,Transfer,2026-01-20T10:00:00Z
TXN_5128,ACC_1358,ACC_1483,1665.02,Withdrawal,2026-01-20T10:00:00Z
TXN_5129,ACC_1193,ACC_1270,153.85,Withdrawal,2026-01-20T10:00:00Z
TXN_5130,ACC_1346,ACC_1288,1861.74,Deposit,2026-01-20T10:00:00Z
TXN_5131,ACC_1297,ACC_1269,922.74,Transfer,2026-01-20T10:00:00Z
TXN_5132,ACC_1469,ACC_1217,64.87,Transfer,2026-01-20T10:00:00Z
TXN_5133,ACC_1446,ACC_1280,1227.49,Transfer,2026-01-20T10:00:00Z
TXN_5134,ACC_1429,ACC_1254,1306.67,Deposit,2026-01-20T10:00:00Z
TXN_5135,ACC_1442,ACC_1361,1088.2,Transfer,2026-01-20T10:00:00Z
TXN_5136,ACC_1145,ACC_1187,1491.21,Deposit,2026-01-20T10:00:00Z
TXN_5137,ACC_1131,ACC_1169,18.69,Withdrawal,2026-01-20T10:00:00Z
TXN_5138,ACC_1247,ACC_1108,1016.04,Withdrawal,2026-01-20T10:00:00Z
TXN_5139,ACC_1002,ACC_1221,1579.16,Deposit,2026-01-20T10:00:00Z
TXN_5140,ACC_1421,ACC_1150,464.24,Transfer,2026-01-20T10:00:00Z
TXN_5141,ACC_1315,ACC_1438,163.84,Withdrawal,2026-01-20T10:00:00Z
TXN_5142,ACC_1425,ACC_1088,1829.34,Transfer,2026-01-20T10:00:00Z
TXN_5143,ACC_1257,ACC_1462,181.62,Deposit,2026-01-20T10:00:00Z
TXN_5144,ACC_1349,ACC_1271,1140.68,Withdrawal,2026-01-20T10:00:00Z
TXN_5145,ACC_1278,ACC_1421,515.7,Deposit,2026-01-20T10:00:00Z
TXN_5146,ACC_1344,ACC_1132,155.59,Deposit,2026-01-20T10:00:00Z
TXN_5147,ACC_1215,ACC_1146,684.05,Deposit,2026-01-20T10:00:00Z
TXN_5148,ACC_9999,ACC_1456,315.78,Transfer,2026-01-20T10:00:00Z
TXN_5149,ACC_1103,ACC_1488,1298.66,Withdrawal,2026-01-20T10:00:00Z
TXN_5150,ACC_1119,ACC_1363,1600.22,Transfer,2026-01-20T10:00:00Z
TXN_5151,ACC_9999,ACC_1404,1089.18,Withdrawal,2026-01-20T10:00:00Z
TXN_5152,ACC_1053,ACC_1077,1240.18,Withdrawal,2026-01-20T10:00:00Z
TXN_5153,ACC_1317,ACC_1116,1661.96,Transfer,2026-01-20T10:00:00Z
TXN_5154,ACC_1404,ACC_1317,1957.97,Deposit,2026-01-20T10:00:00Z
TXN_5155,ACC_1136,ACC_1350,232.83,Withdrawal,2026-01-20T10:00:00Z
TXN_5156,ACC_1215,ACC_1225,108.83,Transfer,2026-01-20T10:00:00Z
TXN_5157,ACC_1154,ACC_1235,570.25,Withdrawal,2026-01-20T10:00:00Z
TXN_5158,ACC_1183,ACC_1464,1867.06,Withdrawal,2026-01-20T10:00:00Z
TXN_5159,ACC_1471,ACC_1224,1319.37,Withdrawal,2026-01-20T10:00:00Z
TXN_5160,ACC_1395,ACC_1139,711.6,Withdrawal,2026-01-20T10:00:00Z
TXN_5161,ACC_9999,ACC_1107,513.37,Deposit,2026-01-20T10:00:00Z
TXN_5162,ACC_1105,ACC_1188,1776.26,Transfer,2026-01-20T10:00:00Z
TXN_5163,ACC_1475,ACC_1087,1851.49,Withdrawal,2026-01-20T10:00:00Z
TXN_5164,ACC_1029,ACC_1008,1095.75,Transfer,2026-01-20T10:00:00Z
TXN_5165,ACC_1057,ACC_1069,1204.95,Transfer,2026-01-20T10:00:00Z
TXN_5166,ACC_1338,ACC_1265,717.15,Transfer,2026-01-20T10:00:00Z
TXN_5167,ACC_1140,ACC_1206,1255.91,Withdrawal,2026-01-20T10:00:00Z
TXN_5168,ACC_1177,ACC_1388,1360.46,Deposit,2026-01-20T10:00:00Z
TXN_5169,ACC_1111,ACC_1114,443.04,Transfer,2026-01-20T10:00:00Z
TXN_5170,ACC_1080,ACC_1235,625.85,Deposit,2026-01-20T10:00:00Z
TXN_5171,ACC_1023,ACC_1293,1404.02,Deposit,2026-01-20T10:00:00Z
TXN_5172,ACC_1409,ACC_1435,1398.03,Withdrawal,2026-01-20T10:00:00Z
TXN_5173,ACC_1132,ACC_1268,22.37,Transfer,2026-01-20T10:00:00Z
TXN_5174,ACC_1046,ACC_1218,1007.87,Deposit,2026-01-20T10:00:00Z
TXN_5175,ACC_1045,ACC_1016,1677.73,Withdrawal,2026-01-20T10:00:00Z
TXN_5176,ACC_1403,ACC_1366,1207.21,Transfer,2026-01-20T10:00:00Z
TXN_5177,ACC_1362,ACC_1003,868.2,Withdrawal,2026-01-20T10:00:00Z
TXN_5178,ACC_1357,ACC_1296,13.95,Withdrawal,2026-01-20T10:00:00Z
TXN_5179,ACC_1262,ACC_1080,1355.15,Transfer,2026-01-20T10:00:00Z
TXN_5180,ACC_1388,ACC_1080,194.47,Deposit,2026-01-20T10:00:00Z
TXN_5181,ACC_1143,ACC_1064,732.03,Withdrawal,2026-01-20T10:00:00Z
TXN_5182,ACC_1070,ACC_1156,1759.66,Withdrawal,2026-01-20T10:00:00Z
TXN_5183,ACC_1276,ACC_1427,125.39,Deposit,2026-01-20T10:00:00Z
TXN_5184,ACC_1454,ACC_1410,126.07,Deposit,2026-01-20T10:00:00Z
TXN_5185,ACC_1212,ACC_1031,1487.23,Withdrawal,2026-01-20T10:00:00Z
TXN_5186,ACC_1270,ACC_1199,1049.64,Withdrawal,2026-01-20T10:00:00Z
TXN_5187,ACC_1398,ACC_1176,1353.15,Withdrawal,2026-01-20T10:00:00Z
TXN_5188,ACC_1386,ACC_1386,1016.98,Transfer,2026-01-20T10:00:00Z
TXN_5189,ACC_1131,ACC_1145,1082.69,Withdrawal,2026-01-20T10:00:00Z
TXN_5190,ACC_1306,ACC_1009,1281.47,Withdrawal,2026-01-20T10:00:00Z
TXN_5191,ACC_1242,ACC_1107,724.39,Transfer,2026-01-20T10:00:00Z
TXN_5192,ACC_9999,ACC_1097,1826.48,Withdrawal,2026-01-20T10:00:00Z
TXN_5193,ACC_1064,ACC_1330,182.27,Withdrawal,2026-01-20T10:00:00Z
TXN_5194,ACC_1498,ACC_1121,1746.51,Deposit,2026-01-20T10:00:00Z
TXN_5195,ACC_1374,ACC_1158,1078.06,Withdrawal,2026-01-20T10:00:00Z
TXN_5196,ACC_1410,ACC_1120,1102.15,Transfer,2026-01-20T10:00:00Z
TXN_5197,ACC_1006,ACC_1471,150.76,Deposit,2026-01-20T10:00:00Z
TXN_5198,ACC_1424,ACC_1005,1673.17,Transfer,2026-01-20T10:00:00Z
TXN_5199,ACC_1206,ACC_1085,801.79,Transfer,2026-01-20T10:00:00Z
TXN_5200,ACC_1386,ACC_1136,1402.07,Deposit,2026-01-20T10:00:00Z
TXN_5201,ACC_1379,ACC_1037,930.64,Withdrawal,2026-01-20T10:00:00Z
TXN_5202,ACC_1354,ACC_1268,1094.29,Withdrawal,2026-01-20T10:00:00Z
TXN_5203,ACC_1102,ACC_1055,395.23,Transfer,2026-01-20T10:00:00Z
TXN_5204,ACC_1484,ACC_1082,1464.13,Withdrawal,2026-01-20T10:00:00Z
TXN_5205,ACC_1332,ACC_1474,101.81,Withdrawal,2026-01-20T10:00:00Z
TXN_5206,ACC_9999,ACC_1486,109.7,Withdrawal,2026-01-20T10:00:00Z
TXN_5207,ACC_1095,ACC_1222,370.89,Transfer,2026-01-20T10:00:00Z
TXN_5208,ACC_1482,ACC_1093,1263.65,Transfer,2026-01-20T10:00:00Z
TXN_5209,ACC_1099,ACC_1375,405.44,Withdrawal,2026-01-20T10:00:00Z
TXN_5210,ACC_1015,ACC_1225,948.54,Transfer,2026-01-20T10:00:00Z
TXN_5211,ACC_1432,ACC_1020,834.48,Withdrawal,2026-01-20T10:00:00Z
TXN_5212,ACC_9999,ACC_1341,1047.35,Withdrawal,2026-01-20T10:00:00Z
TXN_5213,ACC_1253,ACC_1292,682.19,Deposit,2026-01-20T10:00:00Z
TXN_5214,ACC_9999,ACC_1367,1470.26,Withdrawal,2026-01-20T10:00:00Z
TXN_5215,ACC_1412,ACC_1139,1344.7,Deposit,2026-01-20T10:00:00Z
TXN_5216,ACC_1414,ACC_1491,442.32,Deposit,2026-01-20T10:00:00Z
TXN_5217,ACC_1457,ACC_1410,1469.15,Deposit,2026-01-20T10:00:00Z
TXN_5218,ACC_1242,ACC_1239,90.77,Transfer,2026-01-20T10:00:00Z
TXN_5219,ACC_1064,ACC_1400,330.18,Withdrawal,2026-01-20T10:00:00Z
TXN_5220,ACC_1174,ACC_1427,140.98,Withdrawal,2026-01-20T10:00:00Z
TXN_5221,ACC_1420,ACC_1435,665.72,Deposit,2026-01-20T10:00:00Z
TXN_5222,ACC_1343,ACC_1469,1207.31,Transfer,2026-01-20T10:00:00Z
TXN_5223,ACC_1337,ACC_1408,599.69,Transfer,2026-01-20T10:00:00Z
TXN_5224,ACC_1125,ACC_1492,735.82,Deposit,2026-01-20T10:00:00Z
TXN_5225,ACC_1064,ACC_1001,896.39,Withdrawal,2026-01-20T10:00:00Z
TXN_5226,ACC_1229,ACC_1441,1360.94,Withdrawal,2026-01-20T10:00:00Z
TXN_5227,ACC_1262,ACC_1035,1209.55,Deposit,2026-01-20T10:00:00Z
TXN_5228,ACC_9999,ACC_1363,1309.26,Deposit,2026-01-20T10:00:00Z
TXN_5229,ACC_1183,ACC_1382,1348.81,Withdrawal,2026-01-20T10:00:00Z
TXN_5230,ACC_9999,ACC_1260,1014.26,Transfer,2026-01-20T10:00:00Z
TXN_5231,ACC_1201,ACC_1046,287.59,Withdrawal,2026-01-20T10:00:00Z
TXN_5232,ACC_1197,ACC_1495,1576.52,Deposit,2026-01-20T10:00:00Z
TXN_5233,ACC_9999,ACC_1314,1863.55,Transfer,2026-01-20T10:00:00Z
TXN_5234,ACC_1397,ACC_1360,1044.71,Deposit,2026-01-20T10:00:00Z
TXN_5235,ACC_1305,ACC_1138,711.52,Withdrawal,2026-01-20T10:00:00Z
TXN_5236,ACC_1277,ACC_1468,1164.96,Deposit,2026-01-20T10:00:00Z
TXN_5237,ACC_1498,ACC_1250,412.69,Deposit,2026-01-20T10:00:00Z
TXN_5238,ACC_1437,ACC_1388,1379.58,Transfer,2026-01-20T10:00:00Z
TXN_5239,ACC_1427,ACC_1004,854.85,Withdrawal,2026-01-20T10:00:00Z
TXN_5240,ACC_1325,ACC_1381,1705.04,Withdrawal,2026-01-20T10:00:00Z
TXN_5241,ACC_1225,ACC_1438,202.97,Transfer,2026-01-20T10:00:00Z
TXN_5242,ACC_1406,ACC_1493,800.9,Withdrawal,2026-01-20T10:00:00Z
TXN_5243,ACC_1071,ACC_1336,1299.96,Withdrawal,2026-01-20T10:00:00Z
TXN_5244,ACC_1421,ACC_1114,1269.67,Transfer,2026-01-20T10:00:00Z
TXN_5245,ACC_1147,ACC_1048,1495.77,Deposit,2026-01-20T10:00:00Z
TXN_5246,ACC_1037,ACC_1225,1585.13,Transfer,2026-01-20T10:00:00Z
TXN_5247,ACC_1182,ACC_1095,1868.29,Deposit,2026-01-20T10:00:00Z
TXN_5248,ACC_1346,ACC_1366,746.06,Withdrawal,2026-01-20T10:00:00Z
TXN_5249,ACC_1343,ACC_1355,1042.68,Transfer,2026-01-20T10:00:00Z
TXN_5250,ACC_1196,ACC_1174,1862.94,Deposit,2026-01-20T10:00:00Z
TXN_5251,ACC_1296,ACC_1384,307.87,Deposit,2026-01-20T10:00:00Z
TXN_5252,ACC_1161,ACC_1142,805.11,Deposit,2026-01-20T10:00:00Z
TXN_5253,ACC_1430,ACC_1306,628.89,Deposit,2026-01-20T10:00:00Z
TXN_5254,ACC_1077,ACC_1367,1627.47,Deposit,2026-01-20T10:00:00Z
TXN_5255,ACC_1092,ACC_1448,1166.41,Withdrawal,2026-01-20T10:00:00Z
TXN_5256,ACC_1248,ACC_1304,294.14,Withdrawal,2026-01-20T10:00:00Z
TXN_5257,ACC_1017,ACC_1070,1115.58,Deposit,2026-01-20T10:00:00Z
TXN_5258,ACC_1389,ACC_1061,1271.11,Transfer,2026-01-20T10:00:00Z
TXN_5259,ACC_1083,ACC_1375,442.92,Withdrawal,2026-01-20T10:00:00Z
TXN_5260,ACC_1168,ACC_1415,796.8,Transfer,2026-01-20T10:00:00Z
TXN_5261,ACC_1299,ACC_1397,1387.65,Deposit,2026-01-20T10:00:00Z
TXN_5262,ACC_1200,ACC_1106,1233.85,Withdrawal,2026-01-20T10:00:00Z
TXN_5263,ACC_1005,ACC_1334,1560.25,Withdrawal,2026-01-20T10:00:00Z
TXN_5264,ACC_1305,ACC_1017,36.02,Withdrawal,2026-01-20T10:00:00Z
TXN_5265,ACC_1133,ACC_1411,268.85,Transfer,2026-01-20T10:00:00Z
TXN_5266,ACC_1261,ACC_1325,836.95,Transfer,2026-01-20T10:00:00Z
TXN_5267,ACC_1467,ACC_1405,1041.59,Transfer,2026-01-20T10:00:00Z
TXN_5268,ACC_1257,ACC_1202,1274.14,Withdrawal,2026-01-20T10:00:00Z
TXN_5269,ACC_1205,ACC_1070,1004.68,Transfer,2026-01-20T10:00:00Z
TXN_5270,ACC_1097,ACC_1189,1355.02,Deposit,2026-01-20T10:00:00Z
TXN_5271,ACC_1034,ACC_1305,1131.89,Withdrawal,2026-01-20T10:00:00Z
TXN_5272,ACC_1451,ACC_1232,1707.62,Deposit,2026-01-20T10:00:00Z
TXN_5273,ACC_1022,ACC_1346,1002.28,Transfer,2026-01-20T10:00:00Z
TXN_5274,ACC_1040,ACC_1035,684.08,Withdrawal,2026-01-20T10:00:00Z
TXN_5275,ACC_1341,ACC_1101,1984.52,Deposit,2026-01-20T10:00:00Z
TXN_5276,ACC_1353,ACC_1030,866.78,Deposit,2026-01-20T10:00:00Z
TXN_5277,ACC_1224,ACC_1190,800.6,Transfer,2026-01-20T10:00:00Z
TXN_5278,ACC_1412,ACC_1161,1652.87,Transfer,2026-01-20T10:00:00Z
TXN_5279,ACC_1140,ACC_1209,645.34,Deposit,2026-01-20T10:00:00Z
TXN_5280,ACC_1393,ACC_1247,1991.05,Withdrawal,2026-01-20T10:00:00Z
TXN_5281,ACC_1447,ACC_1445,124.94,Withdrawal,2026-01-20T10:00:00Z
TXN_5282,ACC_1037,ACC_1073,1328.98,Withdrawal,2026-01-20T10:00:00Z
TXN_5283,ACC_1094,ACC_1166,516.21,Deposit,2026-01-20T10:00:00Z
TXN_5284,ACC_1255,ACC_1339,355.44,Withdrawal,2026-01-20T10:00:00Z
TXN_5285,ACC_1119,ACC_1413,1432.09,Withdrawal,2026-01-20T10:00:00Z
TXN_5286,ACC_1386,ACC_1007,1938.98,Deposit,2026-01-20T10:00:00Z
TXN_5287,ACC_1469,ACC_1396,252.26,Transfer,2026-01-20T10:00:00Z
TXN_5288,ACC_1464,ACC_1373,764.75,Withdrawal,2026-01-20T10:00:00Z
TXN_5289,ACC_1362,ACC_1005,1273.51,Withdrawal,2026-01-20T10:00:00Z
TXN_5290,ACC_1304,ACC_1263,1792.33,Transfer,2026-01-20T10:00:00Z
TXN_5291,ACC_1116,ACC_1321,576.76,Transfer,2026-01-20T10:00:00Z
TXN_5292,ACC_1269,ACC_1004,1144.36,Deposit,2026-01-20T10:00:00Z
TXN_5293,ACC_1453,ACC_1315,1170.41,Transfer,2026-01-20T10:00:00Z
TXN_5294,ACC_1090,ACC_1017,382.44,Withdrawal,2026-01-20T10:00:00Z
TXN_5295,ACC_1179,ACC_1252,196.48,Transfer,2026-01-20T10:00:00Z
TXN_5296,ACC_1342,ACC_1278,438.67,Transfer,2026-01-20T10:00:00Z
TXN_5297,ACC_1286,ACC_1330,277.58,Deposit,2026-01-20T10:00:00Z
TXN_5298,ACC_1035,ACC_1176,511.69,Deposit,2026-01-20T10:00:00Z
TXN_5299,ACC_1007,ACC_1313,591.49,Withdrawal,2026-01-20T10:00:00Z
TXN_5300,ACC_1180,ACC_1208,320.34,Transfer,2026-01-20T10:00:00Z
